Tweet,URL,Date,ID
Utilize these 8 websites to learn some concepts of web development faster (they are free): 🧵,https://twitter.com/Prathkum/status/1631641047351607296,03-03-2023 06:31:54 PM,1631641047351607296
Cross-Origin Resource Sharing: https://t.co/CligExXU4a,https://twitter.com/Prathkum/status/1631566805188878336,03-03-2023 01:36:54 PM,1631566805188878336
"Thanks for checking this out.

You can check out my other threads at @PrathKum. I generally write about web development. 😁",https://twitter.com/Prathkum/status/1631641092348166145,03-03-2023 06:32:05 PM,1631641092348166145
"8. Blockchain

Learn to code Blockchain DApps by building simple games.

🔗 https://t.co/5BDXNsRg9E https://t.co/1xLoFX8Rzb",https://twitter.com/Prathkum/status/1631641087172386823,03-03-2023 06:32:04 PM,1631641087172386823
"7. JavaScript

Visualize JavaScript code and learn the workflow.

🔗 https://t.co/IDdTvgvR2f https://t.co/Y0b1TgV4Xw",https://twitter.com/Prathkum/status/1631641082193666049,03-03-2023 06:32:03 PM,1631641082193666049
"6. GitFluence

Git is challenging!

Find the Git command you in seconds.

🔗 https://t.co/Aro3YOIlNt https://t.co/wap1ZrOtdo",https://twitter.com/Prathkum/status/1631641077043134464,03-03-2023 06:32:01 PM,1631641077043134464
"5. How DNS Works

Learn what happens when you type a website address in your browser

🔗 https://t.co/SqMRNnDbc3 https://t.co/Ncxl9GqOnn",https://twitter.com/Prathkum/status/1631641071980535809,03-03-2023 06:32:00 PM,1631641071980535809
"4. 30 Days of Node

Learn Node step by step with interactive examples and code snippet in 30 days.

🔗 https://t.co/9nbtMiNB1C https://t.co/eKeeJc0oEI",https://twitter.com/Prathkum/status/1631641066955853826,03-03-2023 06:31:59 PM,1631641066955853826
"3. How HTTP Works

Everything you need to know about HTTP based system.

🔗 https://t.co/gVZS4RzS1a https://t.co/RBSOqjeRYV",https://twitter.com/Prathkum/status/1631641061993922560,03-03-2023 06:31:58 PM,1631641061993922560
"2. CSS Grid

CSS Grid is tricky but the most important concept for designing modern layouts. A guide to learning CSS grid.

🔗 https://t.co/NKXsnOHttB https://t.co/6eXMeukFam",https://twitter.com/Prathkum/status/1631641056855851009,03-03-2023 06:31:57 PM,1631641056855851009
"1. Harvard Education

Web Programming with Python and JavaScript

Design and implementation of web apps with Python, JavaScript, and SQL using frameworks like Django, React, and Bootstrap.

🔗 https://t.co/Oit2TORO6w https://t.co/UINIWJFydT",https://twitter.com/Prathkum/status/1631641051474677760,03-03-2023 06:31:55 PM,1631641051474677760
